Gender,Age stand,Study stand,Learning mode,Social stand,Attendance stand,Cohabitants,Previous SGPA stand,Current CPGA stand,Family income stand
Male,21,1.0,Offline,1.0,95.0,Family,3.65,3.7,40000
Female,22,3.1540296924708375,Offline,3.4722805176635183,80.0,Family,3.18,2.69,30000
Male,21,3.0,Offline,2.0,100.0,Family,3.78,3.201095977596741,30000
Male,24,1.0,Offline,4.0,70.0,Family,2.56,3.38,30000
Male,20,2.0,Offline,12.0,90.0,Family,2.94,3.1,45000
Female,19,3.1540296924708375,Offline,3.4722805176635183,100.0,Family,2.36,2.88,80000
Male,21,3.0,Online,5.0,100.0,Family,3.8,3.8,30
Male,22,0.0,Offline,15.0,80.0,Bachelor,1.53,2.43,30000
Female,21,3.1540296924708375,Online,5.0,80.0,Family,3.0,2.91,35000
Female,20,2.0,Offline,5.0,80.0,Family,2.32,2.66,40000
Male,21,6.0,Online,4.0,90.0,Bachelor,2.760508706467662,3.201095977596741,207239
Female,21,0.0,Offline,12.0,50.0,Family,3.37,3.201095977596741,0
Female,22,2.0,Offline,3.0,100.0,Bachelor,2.89,3.37,50000
Female,21,2.0,Offline,2.0,90.0,Family,3.17,3.201095977596741,40000
Female,20,2.0,Offline,5.0,100.0,Family,2.26,2.31,35000
Female,21,5.0,Offline,2.0,99.0,Bachelor,3.65,3.65,35000
Female,22,2.0,Offline,0.08333333333333333,96.0,Family,3.03,3.02,49000
Male,22,2.0,Offline,4.0,80.0,Bachelor,3.93,3.44,15000
Female,22,4.0,Offline,2.0,80.0,Family,3.0,3.09,2000000
Female,20,2.0,Offline,3.5,98.0,Family,0.0,0.0,0
Male,20,8.0,Offline,2.0,88.33627450980393,Bachelor,3.45,3.45,30000
Female,21,3.1540296924708375,Offline,3.4722805176635183,100.0,Family,2.94,3.03,207239
Male,21,8.0,Offline,1.0,100.0,Family,3.93,3.95,50000
Male,21,1.0,Online,2.0,85.0,Family,3.86,3.84,50000
Male,20,4.0,Offline,2.0,100.0,Family,2.93,2.84,30000
Male,20,5.0,Online,1.0,80.0,Bachelor,3.06,3.08,6500
Female,21,3.1540296924708375,Offline,3.4722805176635183,100.0,Family,3.92,3.94,50000
Male,21,2.0,Offline,2.0,98.0,Family,3.17,3.53,30000
Female,20,1.0,Offline,3.4722805176635183,95.0,Family,3.63,3.201095977596741,35000
Male,20,8.0,Offline,2.0,98.0,Family,3.98,3.86,20000
Female,21,6.0,Offline,2.0,97.0,Family,3.39,2.8,40000
Female,18,2.0,Online,3.0,90.0,Bachelor,3.68,3.201095977596741,40000
Male,21,5.0,Offline,4.0,90.0,Bachelor,3.83,3.83,20000
Male,22,3.0,Offline,4.0,100.0,Bachelor,3.64,3.74,50000
Male,20,2.0,Offline,1.0,100.0,Family,2.96,3.38,25000
Male,22,3.0,Offline,1.0,100.0,Bachelor,2.25,3.201095977596741,20000
Male,19,5.0,Offline,3.4722805176635183,100.0,Bachelor,3.8,3.8,20000
Female,20,1.0,Online,5.0,90.0,Family,3.49,3.5,30000
Male,21,3.1540296924708375,Offline,2.0,60.0,Family,2.11,3.0,50000
Male,20,2.0,Offline,3.4722805176635183,99.0,Family,3.42,3.42,20000
Female,23,5.0,Offline,6.0,99.0,Bachelor,3.96,3.93,12500
Male,23,7.0,Offline,3.4722805176635183,90.0,Bachelor,2.86,3.26,15000
Male,21,5.0,Offline,4.0,60.0,Bachelor,0.5,0.0,5000
Female,20,5.0,Offline,3.0,88.33627450980393,Family,3.5,3.5,20000
Male,20,1.0,Offline,2.0,88.33627450980393,Family,2.52,0.0,50000000
Male,21,3.1540296924708375,Offline,2.0,98.0,Family,3.72,3.71,60000
Female,22,5.0,Online,2.0,95.0,Family,2.8,3.35,68000
Female,21,3.1540296924708375,Offline,2.0,99.0,Family,3.98,3.99,40000
Male,20,4.0,Offline,3.0,100.0,Bachelor,3.68,3.61,40000
Male,21,1.0,Offline,5.0,90.0,Family,3.03,2.94,50000
Female,22,3.0,Offline,4.0,95.0,Family,3.34,3.18,40000
Female,21,8.0,Offline,2.0,100.0,Family,3.39,3.39,50000
Female,23,3.1540296924708375,Offline,3.4722805176635183,100.0,Family,3.78,3.55,16500
Male,24,2.0,Offline,8.0,100.0,Family,1.05,2.97,207239
Female,20,2.0,Offline,4.0,85.0,Bachelor,2.06,2.2,25
Female,20,3.0,Offline,3.4722805176635183,95.0,Family,3.67,3.201095977596741,45000
Female,19,5.0,Offline,3.0,100.0,Family,3.78,0.0,40
Female,20,1.0,Online,1.0,100.0,Family,1.63,2.61,60000
Male,21,2.0,Offline,6.0,70.0,Bachelor,3.17,3.39,40000
Female,20,2.0,Offline,2.0,100.0,Family,3.82,3.91,100000
Male,22,2.0,Offline,4.0,100.0,Bachelor,2.55,2.55,40
Male,22,2.0,Online,2.0,92.0,Family,3.79,3.89,35000
Male,20,2.0,Offline,3.0,99.0,Bachelor,5.0,4.0,20000
Female,23,3.1540296924708375,Offline,3.4722805176635183,85.0,Bachelor,3.76,3.62,33000
Male,21,5.0,Offline,4.0,100.0,Bachelor,3.74,3.91,15000
Male,20,3.1540296924708375,Offline,2.0,98.0,Bachelor,2.760508706467662,3.201095977596741,20000
Male,20,2.0,Offline,0.5,99.0,Bachelor,5.0,3.201095977596741,20
Female,21,3.1540296924708375,Offline,3.4722805176635183,100.0,Family,3.38,3.2,47500
Male,22,5.0,Offline,3.0,90.0,Bachelor,3.98,3.97,70000
Male,22,2.0,Online,1.0,95.0,Bachelor,2.1,2.1,25000
Female,21,3.0,Offline,5.0,80.0,Bachelor,2.72,2.25,60000
Female,22,3.1540296924708375,Offline,3.4722805176635183,98.0,Family,3.3,3.39,50000
Male,21,4.0,Offline,2.0,100.0,Bachelor,4.0,3.72,30000
Male,20,2.0,Offline,3.0,90.0,Bachelor,3.1,3.1,20000
Female,20,1.0,Offline,3.0,90.0,Bachelor,2.56,2.01,35000
Female,20,3.1540296924708375,Offline,3.4722805176635183,80.0,Bachelor,3.21,3.21,30
Female,19,6.0,Offline,2.0,95.0,Family,2.760508706467662,3.201095977596741,70000
Male,19,4.0,Offline,2.0,75.0,Family,3.38,3.38,15000
Female,19,3.0,Offline,2.0,100.0,Family,2.760508706467662,3.201095977596741,50000
Male,21,1.0,Offline,4.0,95.0,Bachelor,3.9,3.9,30000
Male,20,2.0,Offline,1.0,98.0,Family,3.95,3.95,50
Female,20,3.0,Offline,3.0,100.0,Family,3.03,3.03,90000
Female,23,7.0,Offline,3.4722805176635183,60.0,Bachelor,2.59,2.56,26500
Male,20,3.0,Offline,3.4722805176635183,100.0,Bachelor,0.0,0.0,30000
Female,19,3.1540296924708375,Offline,4.0,99.0,Family,3.45,3.295,25000
Male,20,1.0,Offline,4.0,85.0,Family,3.6,3.6,40000
Female,20,6.0,Online,1.0,98.0,Bachelor,3.53,3.53,40000
Female,20,3.0,Offline,2.0,99.0,Family,3.86,3.69,50000
Female,19,3.0,Offline,4.0,100.0,Family,3.48,2.4,25000
Male,21,2.0,Online,1.0,98.0,Bachelor,3.7,3.77,0
Female,20,3.0,Offline,1.0,100.0,Family,3.84,3.84,50000
Female,21,6.0,Offline,2.0,100.0,Family,3.4,3.29,55000
Male,19,4.0,Offline,2.0,90.0,Bachelor,3.43,3.43,24000
Female,21,12.0,Offline,2.0,100.0,Bachelor,3.7,3.7,30000
Male,22,4.0,Offline,3.4722805176635183,85.0,Family,3.02,3.2,20000
Male,20,2.0,Offline,3.0,90.0,Bachelor,3.48,2.98,20000
Male,20,3.1540296924708375,Offline,2.0,90.0,Bachelor,3.53,3.53,40000
Female,19,4.0,Offline,2.0,90.0,Bachelor,3.06,3.41,30000
Male,20,2.0,Offline,3.0,100.0,Bachelor,2.760508706467662,3.9,20000
Female,20,3.1540296924708375,Offline,4.0,95.0,Bachelor,2.760508706467662,3.201095977596741,50000
